type,instruction
"general","Aurinko paistoi kirkkaasti ja linnut"
"general","Kahvikuppi oli pöydällä ja"
"general","Aamulla heräsin aikaisin, koska"
"general","Kesällä pidän eniten siitä, kun"
"general","Kaupungissa oli paljon ihmisiä, jotka"
"general","Illalla istuin ikkunan ääressä ja"
"general","Sade alkoi yllättäen, kun"
"general","Koira juoksi puistossa ja"
"general","Kirjastossa oli hiljaista, kunnes"
"general","Vanha talo seisoi metsän reunassa ja"
"history","Suomi itsenäistyi vuonna 1917, kun"
"history","Toinen maailmansota alkoi vuonna 1939 ja"
"history","Rooman valtakunta kaatui lopulta, koska"
"history","Keskiajalla ritarit taistelivat"
"history","Ranskan vallankumous muutti yhteiskuntaa siten, että"
"history","Viikingit purjehtivat merille etsimään"
"history","Renessanssi alkoi Italiassa ja"
"history","Teollinen vallankumous toi mukanaan"
"history","Kylmä sota oli aikakausi, jolloin"
"history","Suomen sisällissota vuonna 1918 jakoi kansan"
"history","Antiikin Kreikassa demokratia"
"history","Berliinin muuri rakennettiin vuonna 1961 ja sen tarkoitus oli"
"history","Napoleonin sotaretket muuttivat Euroopan karttaa siten, että"
"history","Suomen talvisota osoitti, että"
"history","Kolumbuksen matka Amerikkaan vuonna 1492"
"economics","Inflaatio tarkoittaa sitä, että"
"economics","Keskuspankki säätelee taloutta"
"economics","Kun työttömyys nousee, se vaikuttaa"
"economics","Kysynnän ja tarjonnan laki sanoo, että"
"economics","Talouden taantuma alkaa yleensä, kun"
"economics","Bruttokansantuote mittaa"
"economics","Valuuttakurssit vaihtelevat, koska"
"economics","Verotus vaikuttaa talouteen siten, että"
"economics","Globalisaatio on lisännyt kauppaa"
"economics","Pörssikurssit laskevat, kun sijoittajat"
"economics","Markkinataloudessa hinnat määräytyvät"
"economics","Budjettialijäämä syntyy, kun valtio"
"economics","Korkotaso vaikuttaa kulutukseen siten, että"
"economics","Monopoli muodostuu, kun yksi yritys"
"economics","Vaihtotase mittaa maan"
"math","Kun laskemme kolmion pinta-alan, tarvitsemme"
"math","Pythagoraan lause sanoo, että suorakulmaisessa kolmiossa"
"math","Derivaatta kertoo funktion"
"math","Todennäköisyys heittää kuutosella on"
"math","Yhtälön x² + 5x + 6 = 0 ratkaisut ovat"
"math","Integraali laskee käyrän"
"math","Kun jaamme luvun nollalla, tulos on"
"math","Alkuluku on luku, joka"
"math","Prosenttilaskussa 20% luvusta 150 on"
"math","Matriisien kertolaskussa rivit ja sarakkeet"
"math","Logaritmi on operaatio, joka"
"math","Kompleksiluvussa i tarkoittaa"
"math","Mediaani on tilastollinen tunnusluku, joka"
"math","Eksponenttifunktio kasvaa nopeasti, koska"
"math","Vektorien pistetulo lasketaan"
"programming","Python-kielessä for-silmukka toimii siten, että"
"programming","Rekursio on ohjelmointitekniikka, jossa funktio"
"programming","Muuttuja tallentaa arvon, jota voidaan"
"programming","If-else -rakenne tarkistaa ehdon ja"
"programming","Taulukko on tietorakenne, joka"
"programming","Funktio on koodilohko, joka"
"programming","Try-except -rakenne käsittelee virheitä siten, että"
"programming","Luokka olio-ohjelmoinnissa määrittelee"
"programming","Algoritmin aikakompleksisuus O(n) tarkoittaa, että"
"programming","Git-versionhallinnassa commit tallentaa"
"programming","API on rajapinta, jonka avulla"
"programming","Debuggaus on prosessi, jossa etsitään"
"programming","While-silmukka jatkuu niin kauan kuin"
"programming","Listakomprehensio Pythonissa on tapa"
"programming","SQL-kysely SELECT * FROM users hakee"
"science","Fotosynteesi on prosessi, jossa kasvit"
"science","DNA sisältää geneettistä informaatiota, joka"
"science","Newtonin ensimmäinen laki sanoo, että kappale"
"science","Atomin ydin koostuu protoneista ja"
"science","Evoluutio tapahtuu luonnonvalinnan kautta siten, että"
"science","Lämpötila mittaa molekyylien"
"science","Sähkövirta kulkee johtimessa, kun"
"science","Painovoima on voima, joka"
"science","Kemiallisessa reaktiossa atomit"
"science","Valonnopeus on vakio ja sen arvo on"
"science","Entsyymit ovat proteiineja, jotka"
"science","Solukalvo erottaa solun sisäosan ja"
"science","Kvanttimekaniikassa epävarmuusperiaate sanoo, että"
"science","Ekosysteemissä energia siirtyy"
"science","Happi on kaasu, jota ihmiset tarvitsevat"
"literature","Kalevala on suomalainen kansalliseepos, joka kertoo"
"literature","Runossa säe ja säkeistö muodostavat"
"literature","Romaanin juoni kehittyy, kun päähenkilö"
"literature","Metafora on kielikuva, jossa"
"literature","Aleksis Kivi kirjoitti Seitsemän veljestä, joka kuvaa"
"culture","Suomalainen sauna on perinne, jossa"
"culture","Joulu vietetään Suomessa siten, että"
"culture","Musiikissa nuotti kertoo"
"culture","Teatteriesityksessä näyttelijät"
"culture","Maalauksessa värit ja muodot"
"geography","Suomi sijaitsee Pohjois-Euroopassa ja sen naapurimaita ovat"
"geography","Vuoret muodostuvat, kun mannerlaatat"
"geography","Suurimmat valtameret ovat"
"geography","Ilmastonmuutos vaikuttaa siihen, että"
"geography","Päiväntasaajalla aurinko"
