type,instruction
general,"En vacker sommardag i Stockholm"
general,"Att lära sig ett nytt språk kräver"
general,"Kaffe är en av de mest populära"
general,"När solen går ner över"
general,"Att resa med tåg genom Sverige"
general,"Musik har alltid varit en viktig del av"
general,"I en liten by på landsbygden"
general,"Vänskap är något som"
general,"Att laga mat hemma kan vara"
general,"Regnet smattrade mot fönstret medan"
history,"Gustav Vasa blev Sveriges första kung"
history,"Under vikingatiden reste svenska sjöfarare"
history,"Andra världskriget påverkade Sverige genom"
history,"Industrialiseringen i Sverige började"
history,"Kalmarunionen var en politisk union mellan"
history,"Stormaktstiden var en period då Sverige"
history,"Folkhemmet är ett begrepp som"
history,"Medeltiden i Skandinavien kännetecknades av"
history,"Den svenska demokratins utveckling"
history,"Hansan var ett handelsnätverk som"
economics,"Inflation innebär att priserna"
economics,"Sveriges ekonomi är starkt beroende av"
economics,"Riksbanken har som uppgift att"
economics,"Globaliseringen har påverkat svensk handel genom"
economics,"Arbetslöshet uppstår när"
economics,"Skatter används av staten för att"
economics,"Bostadsmarknaden i Stockholm har"
economics,"Export är viktigt för Sverige eftersom"
economics,"Räntan påverkar ekonomin genom att"
economics,"Konjunkturcykler innebär att ekonomin"
math,"För att lösa ekvationen x + 5 = 12 behöver man"
math,"En triangels vinkelsumma är alltid"
math,"Pythagoras sats säger att i en rätvinklig triangel"
math,"Sannolikheten att få krona vid ett myntkast"
math,"Derivatan av funktionen f(x) = x² är"
math,"För att beräkna arean av en cirkel använder man formeln"
math,"Ett primtal är ett tal som"
math,"Medelvärdet av talen 4, 8, 12 och 16"
math,"Procent betyder per hundra, så 25% av 200"
math,"För att faktorisera uttrycket x² - 9 kan man"
programming,"En for-loop i Python används för att"
programming,"Variabelnamn i de flesta programmeringsspråk"
programming,"En funktion är ett kodblock som"
programming,"Kommentarer i kod är viktiga eftersom"
programming,"Debugging innebär att man"
programming,"En array är en datastruktur som"
programming,"Objektorienterad programmering bygger på koncept som"
programming,"Git är ett versionshanteringssystem som används för att"
programming,"En if-sats kontrollerar om"
programming,"Rekursion är när en funktion"
science,"Fotosyntesen är processen där växter"
science,"Gravity är en kraft som"
science,"DNA innehåller den genetiska information som"
science,"Jordens atmosfär består huvudsakligen av"
science,"Evolutionsteorin förklarar hur"
science,"Elektrisk ström är flödet av"
science,"Vattnets kretslopp börjar när"
science,"Celler är de minsta enheterna av liv som"
science,"Atomer består av protoner, neutroner och"
science,"Klimatförändringar orsakas till stor del av"
literature,"August Strindberg var en svensk författare som"
literature,"Astrid Lindgrens böcker om Pippi Långstrump"
literature,"Poesi använder ofta bildspråk och metaforer för att"
literature,"En roman skiljer sig från en novell genom att"
literature,"Nobelpriset i litteratur delas ut årligen till"
literature,"Svensk barnlitteratur har en lång tradition av"
literature,"Dramatik är en litterär genre där"
literature,"Berättarperspektiv kan vara i första person eller"
literature,"Symbolik i litteratur innebär att"
literature,"Modernismen var en litterär rörelse som"
geography,"Sveriges längsta flod är Klarälven som"
geography,"Fjällen i norra Sverige bildades"
geography,"Östersjön är ett brackvattenhav som"
geography,"Gotland är Sveriges största ö och"
geography,"Skandinaviska bergskedjan sträcker sig"
geography,"Klimatet i Sverige varierar mycket mellan"
geography,"Stockholm är byggt på fjorton öar som"
geography,"Norrland utgör ungefär två tredjedelar av"
geography,"Mälaren är Sveriges tredje största sjö och"
geography,"Arktis påverkas starkt av klimatförändringar vilket"
culture,"Midsommar är en av Sveriges viktigaste högtider och firas genom att"
culture,"Fika är en svensk tradition som innebär att"
culture,"Svenska designtraditionen kännetecknås av"
culture,"Lucia firas den 13 december med"
culture,"Allemansrätten ger alla rätt att"
culture,"Svensk folkmusik har rötter som"
culture,"Julafton firas i Sverige den 24 december när"
culture,"Lagom är ett svenskt begrepp som"
culture,"Sveriges nationaldag firas den 6 juni för att"
culture,"Svenska mattraditionen inkluderar rätter som"
technology,"Artificiell intelligens används idag för att"
technology,"5G-nätverk möjliggör snabbare"
technology,"Solceller omvandlar solljus till"
technology,"Internet of Things innebär att vardagliga föremål"
technology,"Kryptering används för att skydda"
technology,"Självkörande bilar använder sensorer och"
technology,"Kvantdatorer skiljer sig från vanliga datorer genom att"
technology,"Blockkedjeteknik är grunden för"
technology,"Virtual reality skapar en upplevelse där"
technology,"Batteriteknik är viktig för elektrifiering eftersom"
